AAP_Share_D         : 55254206302462116
PEDENA_Share_D      : 58120226425289272
PEDERAKHSH_Share_D  : 24079409192818584
PEKAVIR_Share_D     : 7235435095059069
PEKERMAN_Share_D    : 23214828924506640
PEKIAN_Share_D      : deleted
PELASK_Share_D      : 57722642338781674
PELAST_Share_D      : 52593789542874668
PELOLEH_Share_D     : 29316948750916349
PESAHAND_Share_D    : 10120557300120078
PESHAHEN_Share_D    : 44052047028305231
PETIRE_Share_D      : 41935584690956944
PETOLI_Share_D      : deleted
PETROL_Share_D      : 69143674941561637
PETROMORVARY_Share_D: deleted
REANFOR_Share_D     : 40505767672724777
REFAH_Share_D       : 33410001534682920
REKISH_Share_D      : 27952969918967492
REMAPNA_Share_D     : 67126881188552864
RENIK_Share_D       : 33854964748757477
RETAKO_Share_D      : 3823243780502959
RETAP_Share_D       : 41048299027409941
RIKHTEGARI_Share_D  : deleted
SABAD_Share_D       : 59612098290740355
SABA_Share_D        : 45392752356003555
SABZEVA_Share_D     : 611986653700161
SAINA_Share_D       : 64298008532791199
SAJAN_Share_D       : 40650252484299134
SAKHT_Share_D       : 17800036702302776
SAMANBANK_Share_D   : 38179358042686391#
SAMAN_Share_D       : 66456062140680461#
SARCHESHME_Share_D  : 35948133957468680
SAROOJ_Share_D      : 44802346787824971
SAVEH_Share_D       : 32347247706508046
SEALVAND_Share_D    : 16693610252404739
SEAZARI_Share_D     : 64155926828410021
SEBAGH_Share_D      : 68909035712962732
SEDABIR_Share_D     : 64341992373049080
SEESFA_Share_D      : 7503669593172728
SEFAROD_Share_D     : 4686607974846832
SEFARS_Share_D      : 30852391633490755#
SEFASI_Share_D      : 34721884030854211
SEGHARB_Share_D     : 17939384202383793
SEGHAZVI_Share_D    : 12965822877128721
SEIRA_Share_D       : 62558705479545830
SEJAVAN_Share_D     : 30507152381699953
SEMASKAN_Share_D    : 3863538898378476
SEMAYEH_Share_D     : 43913530989262989
SEMEGA_Share_D      : 46741025610365786
SENAM_Share_D       : 831325835570803
SENEZAM_Share_D     : 45066064863062755#
SENOOR_Share_D      : 63315013743060811#
SENOSA_Share_D      : 32845891587040106#
SENOVIN_Share_D     : 36995197800118822#
SEOMRA_Share_D      : 15726796686853780#
SEPARDIS_Share_D    : 53999651992586159#
SEPERMI_Share_D     : 27668158733246204#
SEPORDE_Share_D     : deleted
SEP_Share_D         : 71856634742001725#
SEROOD_Share_D      : 18883380772506226#
SESHAHED_Share_D    : 63481599728522324#
SESHARGH_Share_D    : 6043384171800349#
SETEMA_Share_D      : 64707090254488560#
SETOOSA_Share_D     : 47702059190622416
SETRAN_Share_D      : 20926459161497908
SEZAGROS_Share_D    : 28854105556435129
SHABRIZ_Share_D     : 48753732042176709
SHAFA_Share_D       : 36899214178084525
SHALYAF_Share_D     : deleted
SHAMLA_Share_D      : 16959429956899455
SHAPDIS_Share_D     : 20562694899904339#
SHAPNA_Share_D      : 7745894403636165
SHARAK_Share_D      : 7711282667602555#
SHASTAN_Share_D     : 3173544097113770#
SHASTA_Share_D      : 2400322364771558
SHAVAN_Share_D      : 60247433951600827
SHBANDAR_Share_D    : 35366681030756042
SHBASIR_Share_D     : 68517032834363488
SHBEHRAN_Share_D    : 22667016906590506
SHDOOS_Share_D      : 40611478183231802
SHEGAMERON_Share_D  : 1050751214677134#
SHEGOOYA_Share_D    : 5987841496184505
SHESADAF_Share_D    : 204092872752957
SHESAKHT_Share_D    : 15282093177363578
SHETEHRAN_Share_D   : 31049085025064185
SHETRAN_Share_D     : 51617145873056483
SHFAN_Share_D       : 65122215875355555
SHFARA_Share_D      : 16673205196919832
SHFARS_Share_D      : 43781018754867729
